DSPAWN,DSTART,TIME,TANK_ID,AQUARIA_ID,TILE_ID,COLUMN_NO,ROW_NO,COLUMN_UNIQUE,ROW_UNIQUE,DENSITY,GENUS,SPECIES,ADULT,REP_AQUARIA,REP_TILE,SETTLE_PHOTO,SETTLE_COUNT,OBSERVER,TOOL,SETTLE_TISSUE,SETTLE_S,SETTLE_D,SETTLE_P,SETTLE_DEN,STP1_COUNT,STP1_OBSERVER,STP1_TOOL,STP1_DEAD,STP1_S,STP1_D,STP1_P,TREAT_STP1_P,STP1_DEN,STP2_OBSERVER,TOOL,STP2_DEAD,STP2_S,STP2_D,SET_STP2_D,STP2_P,STP2_DEN,SET_STP2_P,TREAT_STP2_P
13-Apr-17,19-Apr-17,6-7pm,TANK1,5,49,1,1,9,13,200,Acropora,Acropora_gemmifera,PRESENT,A1,T1,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,3,197,0.015,0.044,30-Apr-17,Sun,Dinoscope,no,2,1,0.67,0.01,0.029,Simo,Disecting,no,1,1,2,0.5,0.01,0.33,0.005
13-Apr-17,19-Apr-17,6-7pm,TANK1,5,50,1,2,9,14,100,Acropora,Acropora_gemmifera,PRESENT,A1,T1,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,99,0.01,0.015,30-Apr-17,Sun,Dinoscope,no,0,1,0,0,0,Simo,Disecting,no,0,0,1,0,0,0,0
13-Apr-17,19-Apr-17,6-7pm,TANK1,5,51,1,3,9,15,10,Acropora,Acropora_gemmifera,PRESENT,A1,T1,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,6,4,0.6,0.087,30-Apr-17,Sun,Dinoscope,no,4,2,0.67,0.4,0.058,Simo,Disecting,no,4,0,2,1,0.06,0.67,0.4
13-Apr-17,19-Apr-17,6-7pm,TANK1,5,52,1,4,9,16,50,Acropora,Acropora_gemmifera,PRESENT,A1,T1,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,49,0.02,0.015,30-Apr-17,Sun,Dinoscope,no,0,1,0,0,0,Simo,Disecting,no,0,0,1,0,0,0,0
13-Apr-17,19-Apr-17,6-7pm,TANK1,5,53,2,1,10,13,50,Acropora,Acropora_gemmifera,PRESENT,A1,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,49,0.02,0.015,30-Apr-17,Sun,Dinoscope,no,0,1,0,0,0,Simo,Disecting,no,0,0,1,0,0,0,0
13-Apr-17,19-Apr-17,6-7pm,TANK1,5,54,2,2,10,14,10,Acropora,Acropora_gemmifera,PRESENT,A1,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,3,7,0.3,0.044,30-Apr-17,Sun,Dinoscope,no,1,2,0.33,0.1,0.015,Simo,Disecting,no,1,0,2,1,0.01,0.33,0.1
13-Apr-17,19-Apr-17,6-7pm,TANK1,5,55,2,3,10,15,200,Acropora,Acropora_gemmifera,PRESENT,A1,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,4,196,0.02,0.058,30-Apr-17,Sun,Dinoscope,no,0,4,0,0,0,Simo,Disecting,no,0,0,4,0,0,0,0
13-Apr-17,19-Apr-17,6-7pm,TANK1,5,57,3,1,11,13,200,Acropora,Acropora_gemmifera,PRESENT,A1,T3,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,199,0.005,0.015,30-Apr-17,Sun,Dinoscope,no,0,1,0,0,0,Simo,Disecting,no,0,0,1,0,0,0,0
12-Apr-17,18-Apr-17,4-5pm,TANK1,6,61,1,1,12,17,50,Acropora,Acropora_digitifera,ABSENT,A1,T1,22-Apr-17,22-Apr-17,John,Disecting,no,46,4,0.92,0.67,29-Apr-17,Sun,Dinoscope,no,46,0,1,0.92,0.67,Kelly,Disecting,no,0,46,46,0,0,0,0
12-Apr-17,18-Apr-17,4-5pm,TANK1,6,62,1,2,12,18,100,Acropora,Acropora_digitifera,ABSENT,A1,T1,22-Apr-17,22-Apr-17,John,Disecting,no,63,37,0.63,0.918,29-Apr-17,Sun,Dinoscope,no,57,6,0.9,0.57,0.83,Kelly,Disecting,no,3,54,60,0.05,0.04,0.05,0.03
